id,section,capability,requirement,applies_to,release_state,spec_status,implementation_status,test_status,closure_status,required_ctest_labels,route_requirement
D8.11,3.8 Result fetching and decoding,Free LOB locator deterministically,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.12,3.8 Result fetching and decoding,Server-side cursor with paging fetch size,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.13,3.8 Result fetching and decoding,Bookmark / row identifier for re-fetch,conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.14,3.8 Result fetching and decoding,Result holdability across transaction commit,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D8.15,3.8 Result fetching and decoding,Empty / zero-row distinguishable from no-result,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_result_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.1,3.9 Type system coverage,Boolean,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.2,3.9 Type system coverage,INT8 / TINYINT,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.3,3.9 Type system coverage,INT16 / SMALLINT,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.4,3.9 Type system coverage,INT32 / INTEGER,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.5,3.9 Type system coverage,INT64 / BIGINT,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.6,3.9 Type system coverage,INT128 / DECIMAL(38),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.7,3.9 Type system coverage,UINT128,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.8,3.9 Type system coverage,REAL16 / Half,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.9,3.9 Type system coverage,REAL32 / FLOAT,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.10,3.9 Type system coverage,REAL64 / DOUBLE,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.11,3.9 Type system coverage,REAL128 / IEEE binary128,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.12,3.9 Type system coverage,DECIMAL / NUMERIC arbitrary precision,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.13,3.9 Type system coverage,DECFLOAT (IEEE 754-2008 decimal),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.14,3.9 Type system coverage,CHAR / VARCHAR / TEXT,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.15,3.9 Type system coverage,NVARCHAR / unicode-explicit,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.16,3.9 Type system coverage,BINARY / VARBINARY / BYTEA,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.17,3.9 Type system coverage,BLOB (LOB),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.18,3.9 Type system coverage,CLOB / NCLOB (LOB),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.19,3.9 Type system coverage,DATE,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.20,3.9 Type system coverage,TIME,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.21,3.9 Type system coverage,TIMESTAMP (no TZ),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.22,3.9 Type system coverage,TIMESTAMP WITH TIME ZONE,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.23,3.9 Type system coverage,TIME WITH TIME ZONE,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.24,3.9 Type system coverage,"INTERVAL (year-month, day-time)",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.25,3.9 Type system coverage,UUID,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.26,3.9 Type system coverage,JSON / JSONB,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.27,3.9 Type system coverage,XML,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.28,3.9 Type system coverage,Array of any base type,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.29,3.9 Type system coverage,Multi-dimensional array,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.30,3.9 Type system coverage,Range types,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.31,3.9 Type system coverage,Composite / record types,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.32,3.9 Type system coverage,ENUM,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.33,3.9 Type system coverage,Network: INET / CIDR / MACADDR,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.34,3.9 Type system coverage,Bit string,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.35,3.9 Type system coverage,Money / fixed-currency,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.36,3.9 Type system coverage,Geometry / Geography,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.37,3.9 Type system coverage,Vector / embedding (fixed-dim float array),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.38,3.9 Type system coverage,Time-series typed value,conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.39,3.9 Type system coverage,Graph node / edge typed value,conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.40,3.9 Type system coverage,Document / BSON,conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.41,3.9 Type system coverage,"Sketch (HLL, t-digest)",conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.42,3.9 Type system coverage,Locator / external object reference,conditional,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.43,3.9 Type system coverage,Opaque (round-trip without semantic),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.44,3.9 Type system coverage,"Charset round-trip across UTF-8, UTF-16, GB18030, Shift-JIS, ISO-8859-1, etc.",required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.45,3.9 Type system coverage,Collation-aware comparison round-trip (per-column collation),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.46,3.9 Type system coverage,Custom user-defined type registration,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.47,3.9 Type system coverage,Reject silent narrowing conversion,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.48,3.9 Type system coverage,Round-trip NaN / Inf / -0.0 / subnormals for floats,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.49,3.9 Type system coverage,Round-trip Unicode supplementary plane (4-byte UTF-8),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D9.50,3.9 Type system coverage,Round-trip empty string vs NULL distinguishable,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_type_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.1,3.10 Transactions,Implicit autocommit-style flow,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.2,3.10 Transactions,Always-in-transaction MGA mapping,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.3,3.10 Transactions,Explicit BEGIN/COMMIT/ROLLBACK,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.4,3.10 Transactions,Isolation level: READ COMMITTED,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.5,3.10 Transactions,Isolation level: SNAPSHOT,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.6,3.10 Transactions,Isolation level: SNAPSHOT TABLE STABILITY,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.7,3.10 Transactions,READ COMMITTED sub-mode (record-version vs read-consistency),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.8,3.10 Transactions,Read-only transaction,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.9,3.10 Transactions,Savepoint create / rollback / release,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.10,3.10 Transactions,Two-phase / PREPARE TRANSACTION,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.11,3.10 Transactions,XA recovery enumeration after crash,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.12,3.10 Transactions,Distributed transaction enlistment (System.Transactions / JTA),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.13,3.10 Transactions,Deferred constraints (SET CONSTRAINTS ALL DEFERRED),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.14,3.10 Transactions,Prepared transaction (limbo) detect / commit / rollback by GID,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.15,3.10 Transactions,Detach to dormant / reattach (ScratchBird-specific),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.16,3.10 Transactions,COMMIT/ROLLBACK immediately reopens next boundary (always-in-transaction),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.17,3.10 Transactions,No silent retry of aborted transactions,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D10.18,3.10 Transactions,Statement boundary scoped to current transaction (cancel does not bleed),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_mga_transaction_gate;driver_server_surface_gate;mga_transaction_regression,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.1,"3.11 Cancellation, timeouts, and interrupts",Statement cancel from owning thread,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.2,"3.11 Cancellation, timeouts, and interrupts",Statement cancel from peer thread,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.3,"3.11 Cancellation, timeouts, and interrupts",Connection abort (drop transport),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.4,"3.11 Cancellation, timeouts, and interrupts",Network timeout,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.5,"3.11 Cancellation, timeouts, and interrupts",Statement timeout,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.6,"3.11 Cancellation, timeouts, and interrupts",Cancel-on-context-cancel (Go/Rust pattern),required_where_host_has_cancellation_tokens,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.7,"3.11 Cancellation, timeouts, and interrupts",Cancel returns 57014 (query_canceled) SQLSTATE,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.8,"3.11 Cancellation, timeouts, and interrupts",Next statement after cancel runs cleanly,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.9,"3.11 Cancellation, timeouts, and interrupts",Cancel of prepared-statement reuse cleans server cache,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D11.10,"3.11 Cancellation, timeouts, and interrupts",Cancel propagation across connection-pool reset,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_cancel_timeout_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.1,"3.12 Diagnostics, errors, and warnings",SQLSTATE on every error,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.2,"3.12 Diagnostics, errors, and warnings",Native error code preserved,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.3,"3.12 Diagnostics, errors, and warnings",Multi-error chain (multiple errors per call),required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.4,"3.12 Diagnostics, errors, and warnings",Severity / class,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.5,"3.12 Diagnostics, errors, and warnings",Server detail / hint / context fields,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.6,"3.12 Diagnostics, errors, and warnings",Per-statement vs per-connection diagnostic scope,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.7,"3.12 Diagnostics, errors, and warnings",Warnings (NOTICE/WARNING) channel,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.8,"3.12 Diagnostics, errors, and warnings",Notice listener / async info messages,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.9,"3.12 Diagnostics, errors, and warnings",Cancel error distinguishable from network error,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.10,"3.12 Diagnostics, errors, and warnings",Timeout error distinguishable from cancel,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.11,"3.12 Diagnostics, errors, and warnings",Statement position / token in error,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.12,"3.12 Diagnostics, errors, and warnings",Stack-trace plus server-side stack on PSQL exception,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D12.13,"3.12 Diagnostics, errors, and warnings",Localized message per session language,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_diagnostics_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D13.1,3.13 Catalog / metadata access,List databases / catalogs,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_metadata_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D13.2,3.13 Catalog / metadata access,List schemas,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_metadata_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
D13.3,3.13 Catalog / metadata access,List tables,required,driver_lane,supported,specified,implemented_and_proven,passed,implemented_and_proven,driver_checklist_registry;driver_metadata_gate;driver_server_surface_gate,client_or_driver_to_sbwp_tls_or_admitted_ipc_to_listener_parser_server_engine
